Masses:	m0 = 0.500000	m1 = 0.500000	
t	x0	y0	z0	x1	y1	z1	px0	py0	pz0	px1	py1	pz1	
2.00000000000000000000e+01	8.87847826015263574817e-01	2.31430798531998682677e+00	-1.05404511006119928559e-03	-8.83811388882252635391e-01	-2.31723415723888681583e+00	1.24919833121767104951e-04	-1.67513712681401027993e-01	1.18989983046170894054e-02	1.02972185218469457191e-05	1.67753741981186504928e-01	-1.19281384656116495185e-02	4.57454719665282405873e-06	
2.10000000000000000000e+01	6.96219166252470378353e-01	2.32186082297643459071e+00	-1.02200175024295307827e-03	-6.91620725632703159391e-01	-2.32487723534221180088e+00	1.44110713389654723510e-04	-1.72290227788034683298e-01	-2.69513346912525833532e-03	4.62484230428549395798e-05	1.72588287941062124009e-01	2.63903479733084041225e-03	6.34373503791284811752e-06	
2.20000000000000000000e+01	5.01341541039190707885e-01	2.31258128950030528159e+00	-9.65649092161721895114e-04	-4.96110060478028414011e-01	-2.31565530073693226498e+00	1.57786162520632731142e-04	-1.76139725681529302204e-01	-1.83857782103829976716e-02	3.52143439833433406750e-05	1.76423821666627123061e-01	1.83904357721975178497e-02	-9.78571317498318407190e-06	
2.30000000000000000000e+01	3.04392561329033473072e-01	2.28549407280214911253e+00	-8.11516197682977057613e-04	-2.98682306502376260227e-01	-2.28850882456800119868e+00	2.51603438657950278460e-04	-1.78889189103960344340e-01	-3.53458860327124507750e-02	1.36463533213063652584e-04	1.79098422746185342858e-01	3.53895447276081631660e-02	7.60340472201136673147e-05	
2.40000000000000000000e+01	1.06845382642381692140e-01	2.23952921294880491487e+00	-6.00553181494388075776e-04	-1.00799874949049017570e-01	-2.24243110390678035415e+00	3.89850063844608923751e-04	-1.80294100919825034390e-01	-5.36150730318257495721e-02	1.15728435800574339185e-04	1.80344648103704319198e-01	5.36546889084856121199e-02	-2.12565597970628317095e-05	
2.50000000000000000000e+01	-8.96841928495593077031e-02	2.17365259464167737136e+00	-4.53491557551448788536e-04	9.58849407290099930989e-02	-2.17644111422695196723e+00	3.94884045851545673316e-04	-1.80060963053580824766e-01	-7.30918459454230340366e-02	8.42439435703146144961e-05	1.80149195410121948369e-01	7.31187996749129986984e-02	-3.58236354210303669775e-05	
2.60000000000000000000e+01	-2.83332134649523281755e-01	2.08690910030368881323e+00	-3.83843811420655741176e-04	2.89597278273808322879e-01	-2.08958116435493312935e+00	3.79117107525999926833e-04	-1.78008417123851819808e-01	-9.37549928056244097352e-02	2.65812949379659992435e-05	1.77977253221396430893e-01	9.39210739555783047372e-02	-2.96937937166436678130e-05	
2.70000000000000000000e+01	-4.71993654806182827421e-01	1.97853423400493366735e+00	-3.79897572105150876497e-04	4.78215266612419920289e-01	-1.98068800687613233436e+00	2.96702048980675722831e-04	-1.73544829987694465556e-01	-1.15693909717474729959e-01	1.80521824253345219210e-05	1.73539565278908403112e-01	1.15942918597273736392e-01	-1.13476788728012950905e-04	
2.80000000000000000000e+01	-6.53089859735553002196e-01	1.84734650579462233999e+00	-3.57225364865921136536e-04	6.59411253185836376822e-01	-1.84898166765733096284e+00	1.87876489659719606235e-04	-1.66312945230665809593e-01	-1.38812330045930687472e-01	1.53331462071611129968e-04	1.66413461158762682190e-01	1.39057939310591682780e-01	-6.38871146351694193946e-05	
2.90000000000000000000e+01	-8.23794492973522696211e-01	1.69249465966434442521e+00	-1.48344930871849290093e-04	8.30467679163877980919e-01	-1.69355323023942605509e+00	1.49987773858365706220e-04	-1.55784069835561006512e-01	-1.62730040986869661790e-01	1.51024266012799959118e-04	1.56035048956141925158e-01	1.63022919617845346574e-01	-9.57056634278402444151e-05	
